,disc_year,discoverymethod,pl_name,pl_orbper,pl_rade
0,2004,Transit,OGLE-TR-10 b,3.101278,14.011
1,2009,Radial Velocity,BD-08 2823 c,237.6,
2,2009,Radial Velocity,HD 110014 b,835.477,
3,2013,Radial Velocity,GJ 667 C f,39.026,
4,2013,Radial Velocity,GJ 667 C g,256.2,
5,2013,Radial Velocity,GJ 667 C c,28.14,
6,2014,Transit,Kepler-227 b,9.488015,3.11
7,2018,Transit,HATS-61 b,7.817953,13.395
8,2018,Transit,HATS-63 b,3.0566527,13.529
9,2020,Transit,HD 108236 c,6.203449,2.071
10,2024,Transit,TOI-1224 b,4.1782745,2.104
11,2024,Transit,TOI-1224 c,17.945466,2.884
12,2024,Radial Velocity,HD 48948 b,7.34013,
13,2024,Radial Velocity,HD 48948 c,38.06,
14,2024,Radial Velocity,HD 48948 d,151.92,
15,2016,Transit,WASP-76 b,1.80988198,20.781
16,2024,Microlensing,OGLE-2014-BLG-0221L b,,
17,2018,Imaging,PDS 70 b,,30.488
18,2008,Imaging,bet Pic b,8617.50952,
19,2015,Imaging,51 Eri b,,
20,2015,Imaging,VHS J125601.92-125723.9 b,5800000.0,13.675
21,2004,Imaging,GQ Lup b,,33.6
22,2019,Imaging,PDS 70 c,,22.866
23,2019,Radial Velocity,bet Pic c,1192.77951,
24,2004,Imaging,2MASS J12073346-3932539 b,,
25,2023,Transit,TOI-5704 b,3.771116,3.227
26,2022,Transit,HD 23472 d,3.97664,0.75
27,2023,Transit,TOI-672 b,3.633575,5.26
28,2023,Transit,TOI-199 b,104.854,9.079
29,2023,Transit Timing Variations,TOI-199 c,273.69,
30,2023,Transit,TOI-2096 c,6.38784,1.914
31,2009,Radial Velocity,HIP 5158 b,345.72,
32,2016,Transit,K2-29 b,3.2588321,13.339
33,2024,Transit,TOI-1782.02,1.82902423,1.839
34,2024,Radial Velocity,TOI-2458 c,16.553,
35,2024,Transit,TOI-5726.01,5.49112522,2.554
36,2024,Transit,TOI-1691 b,16.73688893,3.66
37,2016,Transit,K2-346 b,26.201446,2.26
38,2015,Transit,HAT-P-56 b,2.79083,16.926
39,2019,Transit,WASP-183 b,4.1117771,16.477
40,2016,Transit,K2-330 b,13.774798,2.77
41,2020,Transit,HAT-P-68 b,2.29840551,12.016
42,2018,Transit,K2-268 b,2.151676,1.5
43,2014,Radial Velocity,Kepler-25 d,122.4,
44,2015,Transit,KELT-7 b,2.73477,17.934
45,2013,Transit,Kepler-105 b,5.4122034,2.53
46,2011,Radial Velocity,HD 132563 b,1544.0,
47,2011,Radial Velocity,HD 20794 c,40.114,
48,2011,Radial Velocity,HD 20794 d,90.309,
49,2011,Transit,HAT-P-33 b,3.47447,20.737
50,2020,Radial Velocity,WASP-107 c,1088.0,
51,2016,Transit,HIP 41378 b,15.572098,
52,2024,Transit,TOI-260 b,13.475853,1.71
53,2023,Transit,HD 135694 b,15.92347557,2.857
54,2017,Transit,K2-117 b,1.2916,2.03
55,2024,Transit,TOI-1467 b,5.97114713,1.92
56,2019,Transit,K2-308 b,3.38628,9.916
57,2016,Transit,HIP 41378 d,1114.0,
58,2024,Transit,TOI-1777.01,14.65011197,2.246
59,2002,Radial Velocity,55 Cnc d,5574.2,
60,2016,Transit,HIP 41378 f,1084.0,
61,2024,Transit,TOI-6054.01,7.49299142,2.642
62,2024,Transit,TOI-1301.01,6.09640721,2.477
63,2016,Transit,EPIC 212297394 c,5.213965,2.27
64,2019,Transit,EPIC 212587672 b,15.28078,1.26
65,2015,Transit,K2-3 b,10.0546535,2.078
66,2016,Transit,WASP-136 b,5.215357,15.468
67,2017,Transit,K2-117 c,5.444017,2.06
68,2019,Transit,K2-268 f,26.27057,2.23
69,2018,Transit,K2-352 c,8.234885,1.92
70,2018,Transit,K2-155 c,13.85,2.6
71,2017,Transit,K2-114 b,11.390931,10.592
72,2018,Transit,K2-342 b,11.561052,2.03
73,2012,Transit,WASP-71 b,2.90367,13.227
74,2011,Transit,Kepler-25 b,6.238297,2.748
75,2015,Transit,WASP-47 d,9.030501,3.65
76,1996,Radial Velocity,55 Cnc b,14.6516,
77,2015,Transit,WASP-47 e,0.78961,1.83
78,2019,Transit,EPIC 212297394 b,2.289363,1.48
79,2005,Radial Velocity,HD 189733 b,2.21857567,12.666
80,2018,Transit,K2-341 b,36.552551,3.21
81,2018,Transit,K2-268 c,9.327527,2.69
82,2024,Transit,TOI-2384 b,2.13570304,11.489
83,2020,Transit,TOI-561 b,0.4465688,1.425
84,2016,Transit,K2-340 b,29.740451,3.36
85,2020,Transit,TOI-561 d,25.7124,2.82
86,2018,Transit,K2-348 c,12.550171,2.67
87,2018,Transit,K2-343 c,7.676972,2.02
88,2018,Radial Velocity,HAT-P-11 c,3299.0,
89,2016,Transit,K2-349 b,9.032178,1.38
90,2019,Transit,K2-43 c,2.198884,2.42
91,2017,Transit,WASP-156 b,3.8361623,6.028
92,2016,Transit,K2-336 b,21.194733,1.22
93,2024,Transit,TOI-1758 b,20.70507468,3.62
94,2008,Transit,HAT-P-11 b,4.88780244,4.901
95,2018,Transit,K2-222 b,15.38857,2.35
96,2024,Transit,TOI-2211.01,3.09268676,1.561
97,2023,Transit,HD 25463 b,7.0491423,2.545
98,2011,Transit,Kepler-44 b,3.2467293,12.22
99,2024,Transit,TOI-1180 b,9.68676038,3.072
100,2016,Transit,KELT-17 b,3.0801716,17.094
101,2019,Transit,K2-339 b,19.507428,1.92
102,2018,Transit,K2-333 b,14.759287,6.18
103,2017,Transit,K2-105 b,8.2669928,3.59
104,2004,Radial Velocity,55 Cnc c,44.3989,
105,2024,Transit,TOI-4602.01,3.9812091,2.55
106,2016,Transit,K2-345 b,10.367437,2.11
107,2019,Transit,WASP-166 b,5.44354,7.062
108,2018,Transit,K2-348 b,4.688418,3.26
109,2024,Transit,TOI-1716.01,8.08237655,3.143
110,2018,Transit,K2-271 b,8.562421,7.28
111,2018,Transit,K2-275 b,3.2809626,2.34
112,2015,Transit,K2-25 b,3.48456408,3.44
113,2015,Transit,K2-18 b,32.939623,2.37
114,2024,Transit,TOI-6054.02,12.57499803,2.864
115,2020,Transit,K2-329 b,12.4551225,8.676
116,2016,Transit,EPIC 212587672 c,23.228555,2.32
117,2018,Transit,K2-266 d,14.697,2.93
118,2016,Transit,K2-332 b,17.70632,2.2
119,2018,Transit,K2-212 b,9.795647,2.65
120,2016,Transit,K2-337 b,16.273563,2.62
121,2014,Transit,HAT-P-49 b,2.69155,17.822
122,2024,Transit,TOI-1244 b,6.40031648,2.467
123,2018,Transit,K2-174 b,19.562307,2.6
124,2017,Transit,WASP-107 b,5.7214742,
125,2020,Transit,K2-321 b,2.2979749,2.051
126,2017,Transit,WASP-151 b,4.5334775,13.305
127,2021,Transit,K2-352 b,3.665912,1.37
128,2023,Transit,HD 25463 c,3.04405,1.364
129,2016,Transit,K2-351 b,7.806164,2.54
130,2016,Transit,K2-30 b,4.098503,11.646
131,2016,Transit,HIP 41378 c,31.70648,
132,2019,Transit,K2-343 b,2.787174,1.65
133,2007,Radial Velocity,55 Cnc f,259.88,
134,2018,Transit,K2-155 d,40.718,1.9
135,2024,Transit,TOI-1782.01,4.98764103,2.368
136,2019,Transit,K2-268 e,6.131243,1.33
137,2017,Transit,HD 106315 c,21.05704,4.35
138,2019,Transit,K2-268 d,4.528598,1.49
139,2013,Transit,Kepler-63 b,9.4341505,6.11
140,2018,Transit,K2-266 c,7.814,0.705
141,2010,Transit,HAT-P-25 b,3.65281514,12.722
142,2006,Imaging,CHXR 73 b,,
143,2010,Radial Velocity,alf Ari b,380.8,
144,2012,Radial Velocity,HD 219415 b,2093.3,
145,2012,Radial Velocity,HD 207832 c,1155.7,
146,2020,Transit,WASP-176 b,3.899052,16.87
147,2021,Transit,NGTS-17 b,3.24253,13.899
148,2023,Radial Velocity,HAT-P-2 c,8500.0,
149,2024,Transit,TOI-1683.01,3.0575356,2.638
150,2024,Transit,TOI-1799 b,7.09457086,1.642
151,2024,Transit,TOI-5799 b,4.1646632,1.858
152,2016,Transit,K2-335 b,12.283211,2.21
153,2018,Transit,HD 89345 b,11.8143,7.398
154,2024,Transit,TOI-4638.01,10.28391879,2.933
155,2024,Transit,TOI-1768.01,7.33770365,3.453
156,2012,Transit,HAT-P-42 b,4.641878,14.348
157,2013,Transit,WASP-65 b,2.3114243,12.464
158,2022,Transit,NGTS-25 b,2.823093,11.467
159,2024,Transit,NGTS-27 b,3.3704181,15.648
160,2007,Transit,WASP-4 b,1.33823147,14.807
161,2022,Transit,TOI-1693 b,1.7666957,1.41
162,2017,Transit,NGTS-1 b,2.647298,14.908
163,2022,Radial Velocity,TOI-1288 c,416.0,
164,2022,Transit,NGTS-24 b,3.4678796,13.608
165,2012,Transit,WASP-52 b,1.7497798,14.24
166,2024,Transit,TOI-1630.01,12.05573473,2.417
167,2024,Transit,TOI-1798.02,0.43781182,1.464
168,2018,Transit,K2-331 c,22.996591,2.72
169,2016,Transit,HIP 41378 e,,
170,2015,Transit,HAT-P-54 b,3.799847,10.581
171,2016,Transit,K2-27 b,6.771315,4.48
172,2016,Transit,WASP-127 b,4.17806203,14.695
173,2018,Transit,K2-334 b,5.113981,5.65
174,2004,Radial Velocity,55 Cnc e,0.7365474,1.875
175,2018,Transit,K2-155 b,6.342,1.8
176,2024,Transit,NGTS-33 b,2.827972,18.383
177,2015,Transit,K2-3 c,24.646729,1.582
178,2007,Transit,HAT-P-3 b,2.8997,10.536
179,2021,Transit,K2-350 b,4.163873,1.54
180,2024,Transit,IRAS 04125+2902 b,8.834978,10.738
181,2024,Transit,TOI-1723 b,13.72701264,3.435
182,2017,Transit,HD 106315 b,9.55237,2.44
183,2017,Radial Velocity,K2-18 c,8.962,
184,2018,Transit,EPIC 246851721 b,6.180235,11.781
185,2016,Transit,K2-45 b,1.7292684,6.71
186,2024,Transit,TOI-2458 b,3.73659,2.83
187,2024,Transit,TOI-3261 b,0.8831331,3.82
188,2021,Transit,NGTS-15 b,3.27623,12.33
189,2023,Transit,TOI-2803 A b,1.96229325,18.114
190,2018,Transit,K2-344 b,3.35585,1.59
191,2024,Transit,TOI-1798.01,8.02152233,2.448
192,2011,Transit,Kepler-25 c,12.7207,5.217
193,2009,Transit,WASP-17 b,3.73543,20.961
194,2015,Radial Velocity,WASP-47 c,589.57,
195,2016,Transit,K2-347 b,7.187257,2.41
196,2010,Transit,HAT-P-24 b,3.35524,14.572
197,2015,Transit,HAT-P-50 b,3.1220109,14.437
198,2018,Transit,K2-352 d,14.871387,2.23
199,2016,Transit,K2-77 b,8.2000844,2.5
200,2018,Transit,K2-266 b,0.658524,3.3
201,2024,Transit,TOI-1184 b,5.7484338,2.39
202,2018,Transit,K2-266 e,19.482,2.73
203,2019,Transit,WASP-181 b,4.5195064,13.271
204,2012,Transit,WASP-47 b,4.159151,12.86
205,2021,Transit,K2-331 b,9.398977,1.79
206,2016,Transit,K2-350 c,19.991944,2.74
207,2012,Radial Velocity,GJ 3470 b,3.3366496,4.57
208,2024,Transit,TOI-1772.01,8.05424687,2.905
209,2020,Transit,TOI-561 c,10.778831,2.91
210,2008,Transit,WASP-12 b,1.09142,21.712
211,2015,Transit,K2-3 d,44.55603,1.458
212,2023,Transit,TOI-4860 b,1.5227591,8.7
213,2018,Transit,NGTS-3 A b,1.6753728,16.589
214,2023,Transit,TOI-5344 b,3.792622,10.604
215,2009,Radial Velocity,HD 104067 b,55.851,
216,2016,Transit,K2-43 b,3.471149,4.51
217,2024,Transit,TOI-1659.01,5.87755633,2.255
218,2024,Transit,TOI-1135 b,8.0277283,9.341
219,2023,Transit,TOI-2818 b,4.039709,15.278
220,2023,Transit,TOI-2141 b,18.26157,3.05
221,2022,Transit,TOI-5238 b,4.872171,5.22
222,2024,Transit,BD-14 3065 b,4.2889731,21.59
223,2023,Radial Velocity,TOI-1669 b,500.0,
224,2021,Transit,HAT-P-64 b,4.007232,19.089
225,2014,Transit,Kepler-105 c,7.12592,1.44
226,2018,Transit,K2-275 c,8.4388385,2.21
227,2024,Transit,TOI-1174 b,8.95348768,2.562
228,2024,Transit,TOI-1739 b,8.30334141,1.946
229,2024,Transit,TOI-1744.01,22.34170293,2.68
