Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
55 Cnc e,0.0270,8.5800,0.1673,1.8754,0.0150,,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,MIRI / LRS,-,-,5.0 – 14.0,1,12,1952,Eclipse,03/23/23
55 Cnc e,0.0270,8.5800,0.1673,1.8754,0.0150,,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1952,Eclipse,11/24/22
55 Cnc e,0.0270,8.5800,0.1673,1.8754,0.0150,,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,5,12,2084,Eclipse,11/18/22; 11/20/22; 11/22/22;  03/14/23
GJ 1132 b,0.0052,1.6500,0.1008,1.1299,0.0150,,529,M4,3270,-2.280,0.2264,0.2092,14.6204,0.1958,MIRI / LRS,-,-,5.0 – 14.0,1,12,1274,Eclipse,04/01/23
GJ 1132 b,0.0052,1.6500,0.1008,1.1299,0.0150,,529,M4,3270,-2.280,0.2264,0.2092,14.6204,0.1958,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,2,0,1981,Transit,03/05/23; 02/25/23
GJ 1214 b,0.0260,8.2600,0.2446,2.7418,0.0140,,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1185,Transit,08/20/23
GJ 1214 b,0.0260,8.2600,0.2446,2.7418,0.0140,,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1185,Transit,07/18/23
GJ 1214 b,0.0260,8.2600,0.2446,2.7418,0.0140,,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,MIRI / LRS,-,-,5.0 – 14.0,1,12,1803,Phase Curve,07/22/22
GJ 3470 b,0.0396,12.5800,0.4310,4.8313,0.0360,,593,M1.5,3552,-1.446,0.4997,0.785,15.3000,0.4978,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Transit,11/03/22
GJ 3470 b,0.0396,12.5800,0.4310,4.8313,0.0360,,593,M1.5,3552,-1.446,0.4997,0.785,15.3000,0.4978,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Transit,10/31/22
