Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY],Comment
GJ 3090 b,0.0105,3.34,0.1900,2.1298,0.032,2.85,693,M2,3556,-1.340,0.5160,0.1431,13.1838,0.5190,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,4098,Transit,,
GJ 3090 b,0.0105,3.34,0.1900,2.1298,0.032,2.85,693,M2,3556,-1.340,0.5160,0.1431,13.1838,0.5190,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,4098,Transit,,
GJ 3473 b,0.1128,35.84,0.1128,1.2644,0.016,1.20,773,M4,3347,-1.824,0.3640,0.1013,9.3829,0.3600,MIRI / Imaging,F1500W,-,15,4,0,3730,Eclipse,,
GJ 357 b,0.0058,1.84,0.1086,1.2174,0.033,3.93,525,M2.5,3272,-1.761,0.7200,0.0240,9.8514,0.4700,MIRI / Imaging,F1500W,-,15,1,0,3730,Eclipse,,
GJ 9827 d,0.0111,3.53,0.1804,2.0222,0.056,6.20,681,K6,4305,-0.948,0.6020,0.0948,19.9587,0.6060,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,4098,Transit,,
GJ 9827 d,0.0111,3.53,0.1804,2.0222,0.056,6.20,681,K6,4305,-0.948,0.6020,0.0948,19.9587,0.6060,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,4098,Transit,,
HAT-P-1 b,0.5250,166.83,1.3190,14.7853,0.056,4.47,1322,G0,6051,0.225,1.1784,1.3220,10.1432,1.1260,MIRI / LRS,-,-,5.0 – 14.0,1,12,2950,Transit,,
HAT-P-11 b,0.0900,28.60,0.4226,4.7371,0.053,4.89,838,K4,4777,-0.567,0.7598,0.3264,14.8517,0.8090,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,12,4105,Transit,,
HAT-P-11 b,0.0900,28.60,0.4226,4.7371,0.053,4.89,838,K4,4777,-0.567,0.7598,0.3264,14.8517,0.8090,MIRI / LRS,-,-,5.0 – 14.0,1,12,2950,Transit,,
HAT-P-30 b,0.8300,263.75,1.4400,16.1417,0.042,2.81,1630,F7,6338,0.417,1.3400,1.2185,6.7209,1.2540,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,3838,Transit,,
HAT-P-65 b,0.5270,167.47,1.8900,21.1860,0.040,2.61,1930,G2,5916,0.488,1.6697,1.3520,5.0861,1.0800,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,12,3969,Transit ,,
HATS-6 b,0.3190,101.37,0.9980,11.1871,0.036,3.33,713,M1,3749,-1.198,0.5968,2.9507,13.0484,0.5855,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,0,3171,Transit,,
HATS-75 b,0.4910,156.03,0.8840,9.9092,0.033,2.79,772,-,3790,-1.197,0.5848,2.4111,12.0334,0.6017,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,3,0,3171,Transit,,
HD 106315 c,0.0478,15.19,0.3880,4.3493,0.154,21.06,886,F5,6498,0.395,1.2427,0.1029,26.5669,1.3300,MIRI / LRS,-,-,5.0 – 14.0,1,12,2950,Transit,,
