,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
0,Transit,197.046,OGLE-TR-10 b,3.101278,14.011
1,Radial Velocity,,BD-08 2823 c,237.6,
2,Imaging,3000.0,HR 8799 c,69000.0,13.0
3,Radial Velocity,,HD 110014 b,835.477,
4,Radial Velocity,,GJ 667 C f,39.026,
5,Radial Velocity,,GJ 667 C g,256.2,
6,Radial Velocity,,GJ 667 C c,28.14,
7,Transit,2949.4624,KOI-13 b,1.763588,16.948
8,Transit,1.66,GJ 1132 b,1.628931,1.13
9,Transit,441.7837,KELT-7 b,2.73477,17.934
10,Transit,1080.622,HATS-61 b,7.817953,13.395
11,Transit,305.1168,HATS-63 b,3.0566527,13.529
12,Transit,629.14449,HATS-18 b,0.83784,14.897
13,Transit,,HD 108236 c,6.203449,2.071
14,Transit,11.13,HD 3167 c,29.8454,3.0
15,Transit,7.6,TOI-815 b,11.197259,2.94
16,Transit,23.5,TOI-815 c,34.976145,2.62
17,Transit,1379.37529,TIC 393818343 b,16.24921,12.184
18,Transit,,TOI-1224 b,4.1782745,2.104
19,Transit,,TOI-1224 c,17.945466,2.884
20,Radial Velocity,,HD 48948 b,7.34013,
21,Radial Velocity,,HD 48948 c,38.06,
22,Radial Velocity,,HD 48948 d,151.92,
23,Transit,284.1386,WASP-76 b,1.80988198,20.781
24,Microlensing,1382.55357,OGLE-2014-BLG-0221L b,,
25,Transit,374.0,WASP-47 b,4.159151,12.86
26,Radial Velocity,447.0,WASP-47 c,589.57,
27,Transit,15.5,WASP-47 d,9.030501,3.65
28,Transit,9.0,WASP-47 e,0.78961,1.83
29,Transit,,TOI-5704 b,3.771116,3.227
30,Transit,0.55,HD 23472 d,3.97664,0.75
31,Transit,,TOI-672 b,3.633575,5.26
32,Transit,54.03083,TOI-199 b,104.854,9.079
33,Transit Timing Variations,88.99195,TOI-199 c,273.69,
34,Transit,375.0394,KELT-18 b,2.8717518,17.598
35,Transit,,TOI-2096 c,6.38784,1.914
36,Radial Velocity,,HIP 5158 b,345.72,
37,Radial Velocity,,HD 132563 b,1544.0,
38,Imaging,3994.486,CHXR 73 b,,
39,Radial Velocity,,alf Ari b,380.8,
40,Transit,,Kepler-370 c,19.02293,1.91
41,Transit,,Kepler-400 b,9.024389,1.65
42,Transit,,Kepler-221 b,2.795906,1.71
43,Transit,,Kepler-367 c,53.578637,1.2
44,Transit,,Kepler-393 c,14.613612,1.33
45,Transit,,Kepler-304 c,5.315946,2.17
46,Transit,,Kepler-360 b,3.289672,1.65
47,Transit,,Kepler-243 c,20.026218,1.99
48,Transit,,Kepler-261 c,24.570858,2.0
49,Transit,,Kepler-327 d,13.969457,1.73
50,Transit,,Kepler-136 b,11.5789,2.05
51,Transit,,Kepler-122 d,21.587475,2.2
52,Transit,,Kepler-157 c,13.5405,2.24
53,Transit,,Kepler-147 c,33.416423,2.43
54,Transit,,Kepler-239 b,11.763051,2.33
55,Transit,,Kepler-200 b,8.594805,2.13
56,Transit,,Kepler-243 b,5.715442,2.45
57,Transit,,Kepler-254 b,5.826662,3.87
58,Transit,,Kepler-172 c,6.388996,2.86
59,Transit,,Kepler-299 c,6.885875,2.65
60,Transit,,Kepler-278 c,51.078775,3.59
61,Transit,,Kepler-339 d,10.558345,1.17
62,Transit,,Kepler-397 b,22.250949,2.46
63,Transit,,Kepler-399 b,14.425281,0.96
64,Radial Velocity,,HD 219415 b,2093.3,
65,Radial Velocity,,HD 207832 c,1155.7,
66,Transit,271.74465,WASP-176 b,3.899052,16.87
67,Transit,,K2-178 b,8.747818,3.558
68,Transit,376.94638,WASP-4 b,1.33823147,14.807
69,Transit,,TOI-1693 b,1.7666957,1.41
70,Transit,,K2-399 b,0.759978,6.049
71,Transit,,K2-98 b,10.136448,5.2
72,Transit,,K2-271 b,8.562421,7.28
73,Transit,,K2-133 e,26.5841,1.73
74,Transit,,K2-133 d,11.02454,2.003
75,Transit,,K2-330 b,13.774798,2.77
76,Transit,,K2-105 b,8.2669928,3.59
77,Transit,330.54154,TOI-3807 b,2.8989727,18.495
78,Transit,,K2-148 b,4.38395,1.33
79,Transit,232.01474,TOI-4087 b,3.1774835,13.047
80,Transit,225.65817,TOI-2818 b,4.039709,15.278
81,Transit,,TOI-2096 b,3.1190633,1.243
82,Transit,211.35589,TOI-3235 b,2.59261842,11.4
83,Transit,252.35576,TOI-4463 A b,2.8807198,13.26
84,Radial Velocity,,HD 213885 c,4.78503,
85,Transit,24.0,TOI-2141 b,18.26157,3.05
86,Transit,26.69759,TOI-2525 b,23.2856,8.676
87,Transit,14.95,TOI-3785 b,4.6747373,5.14
88,Transit,44.0,TOI-3984 A b,4.353326,7.9
89,Transit,190.698,WASP-124 b,3.37265,13.899
90,Transit,139.8452,WASP-25 b,3.76483,11.994
91,Transit,170.4,TOI-5293 A b,2.930289,11.9
92,Transit,,K2-107 b,3.313959,15.98
93,Transit,114.4188,WASP-13 b,4.35301,13.675
94,Transit,,K2-155 c,13.85,2.6
95,Radial Velocity,,55 Cnc d,5574.2,
96,Transit,,K2-148 c,6.9226,1.73
97,Radial Velocity,,eps CrB b,417.9,
98,Radial Velocity,,Teegarden's Star b,4.90634,
99,Radial Velocity,,Teegarden's Star c,11.416,
100,Transit,70.55791,TOI-1273 b,4.631296,11.097
101,Transit,,TOI-5803 b,5.38305,3.273
102,Radial Velocity,,55 Cnc b,14.6516,
103,Radial Velocity,,55 Cnc c,44.3989,
104,Transit,308.2951,WASP-58 b,5.01718,16.029
105,Transit,734.18362,TOI-4791 b,4.28088,12.442
106,Transit,,TOI-5174 b,12.214286,5.351
107,Transit,,TOI-2084 b,6.0784247,2.47
108,Transit,203.41018,TOI-2524 b,7.18585,11.209
109,Transit,,TOI-4308 b,9.151201,2.419
110,Transit,304.16179,TOI-4377 b,4.378081,15.11
111,Transit,73.2,TOI-1853 b,1.2436258,3.46
112,Transit,388.38826,HATS-35 b,1.8209993,16.41
113,Imaging,6674.39655,UCAC3 113-933 b,,
114,Imaging,6674.39655,UCAC4 328-061594 b,,
115,Imaging,3496.11248,GJ 900 b,,
116,Transit,797.7533,TOI-150.01,5.857487,14.067
117,Transit,8.83,HD 213885 b,1.008035,1.745
118,Transit,2.53,Wolf 327 b,0.5734745,1.24
119,Radial Velocity,688.41633,HD 118203 b,6.134985,12.733
120,Transit,441.7837,WASP-71 b,2.90367,13.227
121,Transit,30.8,LP 714-47 b,4.052037,4.7
122,Transit,6.9,K2-199 b,3.2253993,1.73
123,Transit,220.0,WASP-84 b,8.52349648,10.72
124,Radial Velocity,3917.23512,HD 39091 b,2088.75851,
125,Transit,24.5,K2-25 b,3.48456408,3.44
126,Radial Velocity,,55 Cnc f,259.88,
127,Transit,123.0,TOI-4633 c,271.9445,3.2
128,Radial Velocity,,HD 158259 e,7.951,
129,Transit,293.03926,WASP-98 b,2.96264036,12.823
130,Transit,,K2-394 b,5.095717,1.692
131,Transit,,TOI-238 b,1.273114,1.612
132,Radial Velocity,,HD 158259 f,12.028,
133,Radial Velocity,954.0,Kepler-93 c,1460.0,
134,Transit,792.635,Qatar-2 b,1.33711647,14.056
135,Transit,1719.4603,Kepler-432 b,52.501129,12.834
136,Radial Velocity,,Kepler-432 c,406.2,
137,Transit,298.12454,KELT-23 A b,2.255251,14.83
138,Radial Velocity,,Kepler-20 g,34.94,
139,Transit,7.13,Kepler-36 c,16.21865,3.679
140,Transit,3.83,Kepler-36 b,13.86825,1.498
141,Transit,731.00534,TOI-1518 b,1.902603,21.017
142,Transit,1.54,LTT 1445 A c,3.1239035,1.147
143,Transit,10.8,TOI-1759 b,18.85019,3.14
144,Transit,379.0,HIP 94235 b,7.713057,3.0
145,Transit,8.1,TOI-1246 b,4.30744,3.01
146,Transit,9.0,TOI-1422 b,12.9972,3.96
147,Transit,100.43378,WASP-151 b,4.5334775,13.305
148,Transit,212.9461,WASP-22 b,3.53269,13.787
149,Transit,,K2-108 b,4.733999,5.33
150,Transit,8.03,Kepler-68 b,5.39875259,2.357
151,Transit,4.66,Kepler-93 b,4.72673978,1.478
152,Transit,41.31769,TOI-1670 b,10.98462,2.06
153,Transit,734.1873,HAT-P-56 b,2.79083,16.926
