# Name: H2O
# Source: 10.1093/mnras/sty1877
# From file: /home/simon/Downloads/1H2-16O__POKAZATEL__R15000_0.3-50mu.xsec.TauREx.h5
# Selected xsec at p = 0.001 bar and T = 1000.0 K
# Binned using R=100
wavel [m],x-sec
3.0035026458995116e-07,1.1380884390035806e-29
3.02229435743432e-07,1.0838474541105737e-29
3.0528714143867043e-07,1.2591535136623284e-29
3.083757824532819e-07,2.074469157927496e-29
3.114956717650612e-07,2.0921037818206365e-29
3.146471255182512e-07,4.274161453585047e-29
3.178304630555794e-07,2.1142175173202438e-29
3.2104600695061655e-07,1.9370976122359308e-29
3.242940830404645e-07,1.57553012132728e-29
3.275750204587732e-07,2.2509780984250533e-29
3.308891516690927e-07,4.2263937972935526e-29
3.3423681249856284e-07,9.09858919048669e-29
3.376183421719422e-07,7.444651315907731e-29
3.410340833459832e-07,4.8436952108024685e-29
3.444843821441541e-07,3.853465523378439e-29
3.479695881917115e-07,4.0642631129012623e-29
3.514900546511291e-07,3.045362557927412e-29
3.550461382578855e-07,5.108167227211081e-29
3.5863819935661037e-07,1.0616728871264225e-28
3.6226660193760097e-07,2.3582123269428706e-28
3.659317136737049e-07,3.4891041258572857e-28
3.6963390595757746e-07,1.4422552215772167e-28
3.733735539393155e-07,9.956926644660118e-29
3.7715103656447187e-07,1.1519118141414509e-28
3.8096673661245535e-07,1.5552797691736535e-28
3.848210407353178e-07,1.1105846761300724e-28
3.8871433949693465e-07,8.502257145734694e-29
3.9264702741258035e-07,1.9866760320403468e-28
3.9661950298890727e-07,1.176118263491025e-27
4.006321687643261e-07,1.7709641437591647e-27
4.046854313497957e-07,7.981774931299625e-28
4.0877970147002574e-07,2.676179031606161e-28
4.129153940050968e-07,2.5488923857324352e-28
4.170929280325001e-07,6.409009368086843e-28
4.2131272686960425e-07,7.987560544277602e-28
4.255752181165499e-07,6.4238530136457575e-28
4.298808336995802e-07,2.8881710771950438e-28
4.3423000991480784e-07,2.3113746611162173e-28
4.386231874724272e-07,2.0495348442329952e-27
4.430608115413702e-07,8.273962809133027e-27
4.475433317944176e-07,6.063815567520857e-27
4.520712024537649e-07,2.7678880119409875e-27
4.566448823370492e-07,1.3280828545869458e-27
4.6126483490384287e-07,5.5533251031945635e-28
4.659315283026158e-07,1.1871145386780633e-27
4.7064543541817387e-07,3.850866459126882e-27
4.75407033919578e-07,3.768346766793372e-27
4.802168063085463e-07,2.140496232324543e-27
4.850752399683483e-07,2.9361667414225142e-27
4.899828272131906e-07,2.4950315168997383e-27
4.949400653381056e-07,2.8437059972900574e-27
4.999474566693418e-07,1.523143672583086e-26
5.050055086152666e-07,5.952032016142317e-26
5.101147337177832e-07,2.7485089205783036e-26
5.152756497042653e-07,2.0953845011755193e-26
5.204887795400228e-07,5.3462495873037545e-27
5.257546514812925e-07,4.167336068657204e-27
5.310737991287673e-07,4.798364263057462e-27
5.364467614816682e-07,6.928503082966148e-27
5.418740829923604e-07,2.704536030103257e-26
5.473563136215252e-07,2.5607433716267688e-26
5.528940088938885e-07,1.3774752453756815e-26
5.584877299545109e-07,9.148699230372018e-27
5.641380436256532e-07,7.661607392089185e-27
5.698455224642112e-07,3.963480781418022e-26
5.756107448197334e-07,4.015806887237425e-26
5.814342948930291e-07,4.7421120836660636e-26
5.873167627953639e-07,2.772636768834285e-25
5.932587446082573e-07,3.6359298391364e-25
5.99260842443885e-07,3.118979412396842e-25
6.05323664506093e-07,1.0256589006583439e-25
6.114478251520277e-07,5.09358494212998e-26
6.176339449543881e-07,2.1177763610208356e-26
6.238826507643113e-07,3.1990246956204485e-26
6.301945757748913e-07,3.6451760831026466e-26
6.365703595853444e-07,4.293769118199963e-26
6.430106482658167e-07,1.1753562804042962e-25
6.49516094422856e-07,3.1250877379149446e-25
6.560873572655389e-07,2.10540307090668e-25
6.627251026722699e-07,1.571549932732799e-25
6.694300032582561e-07,5.696367324162464e-26
6.762027384436664e-07,3.367111855518083e-26
6.830439945224764e-07,3.207131434265934e-26
6.899544647320126e-07,2.605517451529711e-25
6.969348493231987e-07,3.2951697055477787e-25
7.039858556315149e-07,5.094639357168631e-25
7.111081981486722e-07,5.24773591409595e-25
7.183025985950133e-07,3.499229194765131e-24
7.255697859926468e-07,2.1873331806602487e-24
7.329104967393192e-07,2.0222898691195505e-24
7.40325474683036e-07,1.6439796532541554e-24
7.478154711974393e-07,7.2771118582194975e-25
7.553812452579415e-07,3.6772459468012776e-25
7.630235635186369e-07,1.4535740630900334e-25
