# Name: NH3
# Source: 10.1093/mnras/stz2778
# From file: /home/simon/Downloads/14N-1H3__CoYuTe.R15000_0.3-50mu.xsec.TauREx.h5
# Selected xsec at p = 0.001 bar and T = 1000.0 K
# Binned using R=100
wavel [m],x-sec
3.0035026458995116e-07,0.0
3.02229435743432e-07,0.0
3.0528714143867043e-07,0.0
3.083757824532819e-07,0.0
3.114956717650612e-07,0.0
3.146471255182512e-07,0.0
3.178304630555794e-07,0.0
3.2104600695061655e-07,0.0
3.242940830404645e-07,0.0
3.275750204587732e-07,0.0
3.308891516690927e-07,0.0
3.3423681249856284e-07,0.0
3.376183421719422e-07,0.0
3.410340833459832e-07,0.0
3.444843821441541e-07,0.0
3.479695881917115e-07,0.0
3.514900546511291e-07,0.0
3.550461382578855e-07,0.0
3.5863819935661037e-07,0.0
3.6226660193760097e-07,0.0
3.659317136737049e-07,0.0
3.6963390595757746e-07,0.0
3.733735539393155e-07,0.0
3.7715103656447187e-07,0.0
3.8096673661245535e-07,0.0
3.848210407353178e-07,0.0
3.8871433949693465e-07,0.0
3.9264702741258035e-07,0.0
3.9661950298890727e-07,0.0
4.006321687643261e-07,0.0
4.046854313497957e-07,0.0
4.0877970147002574e-07,0.0
4.129153940050968e-07,0.0
4.170929280325001e-07,0.0
4.2131272686960425e-07,0.0
4.255752181165499e-07,0.0
4.298808336995802e-07,0.0
4.3423000991480784e-07,0.0
4.386231874724272e-07,0.0
4.430608115413702e-07,0.0
4.475433317944176e-07,0.0
4.520712024537649e-07,0.0
4.566448823370492e-07,0.0
4.6126483490384287e-07,0.0
4.659315283026158e-07,0.0
4.7064543541817387e-07,0.0
4.75407033919578e-07,0.0
4.802168063085463e-07,0.0
4.850752399683483e-07,0.0
4.899828272131906e-07,0.0
4.949400653381056e-07,0.0
4.999474566693418e-07,3.528601882076935e-27
5.050055086152666e-07,7.753329804951444e-27
5.101147337177832e-07,1.1724366879105582e-26
5.152756497042653e-07,1.7302188420691943e-26
5.204887795400228e-07,1.7660663656326894e-26
5.257546514812925e-07,1.2556554620742836e-26
5.310737991287673e-07,1.3848097769800985e-26
5.364467614816682e-07,1.7930747640333868e-26
5.418740829923604e-07,2.697623067556369e-26
5.473563136215252e-07,7.965396641931185e-26
5.528940088938885e-07,1.063886477107e-25
5.584877299545109e-07,6.629161478221888e-26
5.641380436256532e-07,2.909308863418078e-26
5.698455224642112e-07,2.383467360787381e-26
5.756107448197334e-07,2.708429052813502e-26
5.814342948930291e-07,3.7034838133266486e-26
5.873167627953639e-07,4.0400542786223537e-26
5.932587446082573e-07,3.785406030305114e-26
5.99260842443885e-07,8.559022046082545e-26
6.05323664506093e-07,1.2236062411062955e-25
6.114478251520277e-07,9.132796771770301e-26
6.176339449543881e-07,5.28162262526843e-26
6.238826507643113e-07,4.8939062695494853e-26
6.301945757748913e-07,7.110880589465989e-26
6.365703595853444e-07,1.7711874606528835e-25
6.430106482658167e-07,6.190808247789307e-25
6.49516094422856e-07,6.61586494821859e-25
6.560873572655389e-07,4.372443538308783e-25
6.627251026722699e-07,2.052616964788401e-25
6.694300032582561e-07,1.1734778025934796e-25
6.762027384436664e-07,1.0540705670090108e-25
6.830439945224764e-07,1.5035706735542249e-25
6.899544647320126e-07,1.8561868461909974e-25
6.969348493231987e-07,2.477259769583407e-25
7.039858556315149e-07,3.188231529069523e-25
7.111081981486722e-07,3.081835142009905e-25
7.183025985950133e-07,2.981679518254815e-25
7.255697859926468e-07,6.600955079282354e-25
7.329104967393192e-07,6.519769504670624e-25
7.40325474683036e-07,4.749982235227955e-25
7.478154711974393e-07,3.225682217777532e-25
